series_id,date,fcst,value,model,dataset
A3349849A,2017-01-01,38.17115020751953,35.1,AutoARIMA,Australia Retail Sales
A3349849A,2017-02-01,40.380897521972656,39.8,AutoARIMA,Australia Retail Sales
A3349849A,2017-03-01,42.53521347045898,44.6,AutoARIMA,Australia Retail Sales
A3349849A,2017-04-01,39.31155014038086,41.0,AutoARIMA,Australia Retail Sales
A3349849A,2017-05-01,40.24265670776367,41.0,AutoARIMA,Australia Retail Sales
A3349849A,2017-06-01,39.430274963378906,39.4,AutoARIMA,Australia Retail Sales
A3349849A,2017-07-01,40.07884979248047,42.5,AutoARIMA,Australia Retail Sales
A3349849A,2017-08-01,40.732669830322266,43.0,AutoARIMA,Australia Retail Sales
A3349849A,2017-09-01,41.250606536865234,44.3,AutoARIMA,Australia Retail Sales
A3349849A,2017-10-01,41.61012649536133,41.7,AutoARIMA,Australia Retail Sales
A3349849A,2017-11-01,42.50170516967773,40.9,AutoARIMA,Australia Retail Sales
A3349849A,2017-12-01,44.357940673828125,39.6,AutoARIMA,Australia Retail Sales
A3349849A,2018-01-01,39.88582992553711,33.8,AutoARIMA,Australia Retail Sales
A3349849A,2018-02-01,42.13047409057617,37.2,AutoARIMA,Australia Retail Sales
A3349849A,2018-03-01,43.17039108276367,44.3,AutoARIMA,Australia Retail Sales
A3349849A,2018-04-01,41.01487350463867,40.6,AutoARIMA,Australia Retail Sales
A3349849A,2018-05-01,40.91007232666016,40.9,AutoARIMA,Australia Retail Sales
A3349849A,2018-06-01,39.5269775390625,40.7,AutoARIMA,Australia Retail Sales
A3349849A,2018-07-01,41.30057144165039,43.8,AutoARIMA,Australia Retail Sales
A3349849A,2018-08-01,42.44291305541992,41.7,AutoARIMA,Australia Retail Sales
A3349849A,2018-09-01,42.330177307128906,41.4,AutoARIMA,Australia Retail Sales
A3349849A,2018-10-01,41.69571685791016,41.7,AutoARIMA,Australia Retail Sales
A3349849A,2018-11-01,41.759063720703125,44.0,AutoARIMA,Australia Retail Sales
A3349849A,2018-12-01,42.42645263671875,40.9,AutoARIMA,Australia Retail Sales
A3349849A,2017-01-01,37.81930160522461,35.1,AutoARIMA-X,Australia Retail Sales
A3349849A,2017-02-01,39.46255111694336,39.8,AutoARIMA-X,Australia Retail Sales
A3349849A,2017-03-01,40.661224365234375,44.6,AutoARIMA-X,Australia Retail Sales
A3349849A,2017-04-01,38.735633850097656,41.0,AutoARIMA-X,Australia Retail Sales
A3349849A,2017-05-01,39.73208236694336,41.0,AutoARIMA-X,Australia Retail Sales
A3349849A,2017-06-01,39.52020263671875,39.4,AutoARIMA-X,Australia Retail Sales
